Variable Name,RIGHT VALUE,Node Address
powerStatus,0,ns=3;s=[PLC]power_on
entry1,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[0].4
orderStatus,0,ns=3;s=Order_Status
scanDone,0,ns=3;s=[PLC]Scan_done
inventory1,0,ns=3;s=[PLC]Inventory_fivetwo
stoppingCylinder1up,0,ns=3;s=::[PLC]aentr:1:I.0
conveyor1Status,0,ns=3;s=::[PLC]vfd:SI.RunMode
intDigitalOutput,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[0].3
opDigitalOutput,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[0].2
palletClampingCylinder1Forward,0,ns=3;s=::[PLC]aentr:1:I.7
rFIDPosition,0,ns=3;s=[PLC]readdata[1]
gripper1Open,0,ns=3;s=::[PLC]Gripper_open
motorCylinder1Back,0,ns=3;s=::[PLC]aentr:1:I.5
faceOne,0,ns=3;s=[PLC]Face1_matched
faceTwo,0,ns=3;s=[PLC]Face2_matched
faceThree,0,ns=3;s=[PLC]Face3_matched
faceFour,0,ns=3;s=[PLC]Face4_matched
numAccepted,0,ns=3;s=[PLC]accepted_bodies.ACC
stoppingCylinder1down,0,ns=3;s=::[PLC]aentr:1:I.2
palletClampingCylinder1Back,0,ns=3;s=::[PLC]aentr:2:I.3
motorCylinder1Forward,0,ns=3;s=::[PLC]Motor_Forward
exit1,0,ns=3;s=[PLC]Exit_Sensor_on
