Variable Name,RIGHT VALUE,Node Address,Old Names
ioMod1Link1,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[4].0,ioMod1Link1
ioMod1Link2,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[4].1,ioMod1Link2
ioMod1Link3,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[4].2,ioMod1Link3
ioMod1Link4,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[4].3,ioMod1Link4
ioMod1Link5,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[4].4,ioMod1Link5
ioMod1Link6,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[4].5,ioMod1Link6
ioMod2Link1,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[5].0,ioMod2Link1
ioMod2Link2,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[5].1,ioMod2Link2
ioMod2Link3,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[5].2,ioMod2Link3
auto,0,ns=3;s=::[PLC]Machine_Running_In_Auto,auto
manual,0,ns=3;s=::[PLC]mode_manual,manual
lightCurtain1,0,ns=3;s=[PLC]Light_Curtain,lightCurtain1
machine1StartSequence,0,ns=3;s=[PLC]order_fivetwo,machine1StartSequence
stn1Pressure,0,ns=3;s=::[PLC]aentr:4:I.1,stn1Pressure
stnOneCycle,0,ns=3;s=[PLC]cycletime,stnOneCycle
stnOneInspection,0,ns=3;s=[PLC]inspectiontime,stnOneInspection
user1,0,ns=3;s=[PLC]string_test,user1
inventoryScanOne,0,ns=3;s=[PLC]HMI_Inventory_Check,inventoryScanOne
palletBeforeOp1 ,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[0].6,palletBeforeOp1 
palletAfterOp1 ,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[0].0,palletAfterOp1 
gripper1PositionX,0,ns=3;s=[PLC]x_axis.ActualPosition,gripper1PositionX
gripper1PositionY,0,ns=3;s=[PLC]y_axis.ActualPosition,gripper1PositionY
gripper1PositionZ,0,ns=3;s=[PLC]z_axis.ActualPosition,gripper1PositionZ
RFIDPOSITION_rFIDPort,0,ns=3;s=[PLC]readdata[0],rFIDPort
palletReleaseCylinder1Up,0,ns=3;s=::[PLC]aentr:1:I.3,palletReleaseCylinder1Up
palletLockingCylinder1Down,0,ns=3;s=::[PLC]aentr:1:I.6,palletLockingCylinder1Down
faultStatus,0,ns=3;s=::[PLC]vfd:SI.ConnectionFaulted,faultStatus
numRejected,0,ns=3;s=[PLC]Bodies_rejected.ACC,numRejected
speed1X,0,ns=3;s=[PLC]speedx,speed1X
speed1Y,0,ns=3;s=[PLC]speedy,speed1Y
speed1Z,0,ns=3;s=[PLC]speedz,speed1Z
machine1StartSequencethreetwo,0,ns=3;s=[PLC]order_threetwo,machine1StartSequencethreetwo
machine1StartSequencefivethree,0,ns=3;s=[PLC]order_fivethree,machine1StartSequencefivethree
machine1oee,0,ns=3;s=[PLC]OEEone,machine1oee
machine2oee,0,ns=3;s=[PLC]OEEtwo,machine2oee
machine3oee,0,ns=3;s=[PLC]OEEthree,machine3oee
oee,0,ns=3;s=[PLC]OEE,oee
performance,0,ns=3;s=[PLC]Performance,performance
quality,0,ns=3;s=[PLC]Quality,quality
availability,0,ns=3;s=[PLC]Availability,availability
gripper1Close,0,ns=3;s=::[PLC]Gripper_close,gripper1Close
palletLockingCylinder1Up,0,ns=3;s=::[PLC]PalletLockingCylinder_Up,palletLockingCylinder1Up
palletReleaseCylinder1Down,0,ns=3;s=::[PLC]aentr:1:I.4,palletReleaseCylinder1Down
emergency1,0,ns=3;s=::[PLC]aentr:2:I.4,emergency1
lightYellow1,0,ns=3;s=::[PLC]aentr:5:I.1,lightYellow1
lightGreen1,0,ns=3;s=::[PLC]aentr:5:I.2,lightGreen1
lightRed1,0,ns=3;s=::[PLC]aentr:5:I.3,lightRed1
buzzer1,0,ns=3;s=::[PLC]aentr:5:I.5,buzzer1
imageOK1,0,ns=3;s=::[PLC]aentr:3:I.2,imageOK1
machine1StartSequenceFivetwo,0,ns=3;s=[PLC]HMI_Cmd_Execute_Order,machine1StartSequenceFivetwo
emergencyReason,0,ns=3;s=[PLC]Emergency_Reason,emergencyReason
palletShaftDown,0,ns=3;s=::[PLC]PalletShaftDown,palletShaftDown
bodyClampingForward,0,ns=3;s=::[PLC]BodyClamping_Forward,bodyClampingForward
bodyClampingBack,0,ns=3;s=::[PLC]BodyClamping_Back,bodyClampingBack
cmdGripperClose,0,ns=3;s=::[PLC]Cmd_Gripper_Close,cmdGripperClose
cmdGripperOpen,0,ns=3;s=::[PLC]Cmd_GripperOpen,cmdGripperOpen
cmdBodyClampingCylinderForward,0,ns=3;s=::[PLC]Cmd_BodyClampingCylinder_Forward,cmdBodyClampingCylinderForward
cmdBodyClampingCylinderBack,0,ns=3;s=::[PLC]Cmd_BodyClampingCylinder_Back,cmdBodyClampingCylinderBack
cmdPalletLockingCylinderUp,0,ns=3;s=::[PLC]Cmd_PalletLockingCylinder_Up,cmdPalletLockingCylinderUp
cmdPalletShaftDown,0,ns=3;s=::[PLC]Cmd_PalletShaftDown,cmdPalletShaftDown
