POWERSTATUS,ENTRY1,ORDERSTATUS,SCANDONE,INVENTORY1,STOPPINGCYLINDER1UP,CONVEYOR1STATUS,INTDIGITALOUTPUT,OPDIGITALOUTPUT,PALLETCLAMPINGCYLINDER1FORWARD,RFIDPOSITION,GRIPPER1OPEN,MOTORCYLINDER1BACK,FACEONE,FACETWO,FACETHREE,FACEFOUR,NUMACCEPTED,STOPPINGCYLINDER1DOWN,PALLETCLAMPINGCYLINDER1BACK,MOTORCYLINDER1FORWARD,EXIT1,TIMESTAMPS
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:45.2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:49.5
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:54.0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:57.0
1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:58.0
1,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22:00.0
1,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22:00.2
1,0,1,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22:04.1
1,0,1,1,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:07.0
1,0,1,1,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22:07.2
1,0,1,1,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22:09.1
1,0,1,1,6,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,22:12.1
1,0,1,1,6,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,22:15.1
1,0,1,1,6,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,22:21.1
1,0,1,1,6,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,22:28.1
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,22:31.2
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,22:34.1
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,22:37.2
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,22:37.3
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,22:42.2
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,22:44.2
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,22:46.2
1,0,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,22:48.2
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,22:50.2
