POWERSTATUS,ENTRY1,ORDERSTATUS,SCANDONE,INVENTORY1,STOPPINGCYLINDER1UP,CONVEYOR1STATUS,INTDIGITALOUTPUT,OPDIGITALOUTPUT,PALLETCLAMPINGCYLINDER1FORWARD,RFIDPOSITION,GRIPPER1OPEN,MOTORCYLINDER1BACK,FACEONE,FACETWO,FACETHREE,FACEFOUR,NUMACCEPTED,STOPPINGCYLINDER1DOWN,PALLETCLAMPINGCYLINDER1BACK,MOTORCYLINDER1FORWARD,EXIT1,TIMESTAMPS
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:13.135344
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:18.645265
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:23.051591
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:25.972902
1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:26.991770
1,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:28.991029
1,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:29.128393
1,0,1,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:32.996482
1,0,1,1,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:36.010486
1,0,1,1,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:38.015846
1,0,1,1,6,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:40.931584
1,0,1,1,6,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2020-12-14 17:22:43.962789
1,0,1,1,6,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,2020-12-14 17:22:50.029819
1,0,1,1,6,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,2020-12-14 17:22:57.045780
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,2020-12-14 17:22:59.986599
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,2020-12-14 17:23:02.998534
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2020-12-14 17:23:06.014291
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2020-12-14 17:23:06.153076
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2020-12-14 17:23:11.034008
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2020-12-14 17:23:13.033152
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2020-12-14 17:23:15.040459
1,0,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2020-12-14 17:23:17.048424
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2020-12-14 17:23:19.064523
